TRAINING REPORT — v6 Final
============================================================

Time           : 13.0 min
Best Val mIoU  : 0.2632  (Epoch 14)
Best Val Dice  : 0.3270
Best Val Acc   : 0.6617

Per-Class IoU at Best Epoch:
  Background        : 0.2264
  Trees             : 0.2628
  Lush Bushes       : 0.0548
  Dry Grass         : 0.2631
  Dry Bushes        : 0.0209
  Ground Clutter    : 0.1578
  Logs              : 0.1161
  Rocks             : 0.2203
  Landscape         : 0.4725
  Sky               : 0.6560

Ep   TrLoss    VLoss     TrIoU     VIoU      VDice     VAcc      
-----------------------------------------------------------------
1    1.4261    23.3483   0.3486    0.0516    0.0877    0.2207    
2    0.7899    19.4108   0.4023    0.0666    0.1093    0.2806    
3    0.7256    16.2083   0.4163    0.0862    0.1361    0.3530    
4    0.6961    13.7220   0.4241    0.1133    0.1696    0.4360    
5    0.6781    11.8798   0.4296    0.1446    0.2062    0.5111    
6    0.6631    10.5307   0.4326    0.1734    0.2401    0.5634    
7    0.6552    9.5824    0.4353    0.1967    0.2672    0.5951    
8    0.6455    8.9104    0.4384    0.2211    0.2884    0.6180    
9    0.6424    8.4941    0.4392    0.2366    0.3042    0.6352    
10   0.6331    8.2513    0.4418    0.2466    0.3163    0.6489    
11   0.6280    8.1450    0.4424    0.2553    0.3243    0.6584    
12   0.6249    8.1786    0.4438    0.2592    0.3270    0.6617    
13   0.6188    8.2722    0.4455    0.2584    0.3270    0.6615    
14   0.6153    8.4338    0.4464    0.2632    0.3245    0.6584    
15   0.6105    8.6926    0.4478    0.2628    0.3192    0.6514    
16   0.6091    8.9645    0.4482    0.2572    0.3141    0.6444    
17   0.6065    9.3142    0.4488    0.2470    0.3065    0.6360    
18   0.6027    9.7551    0.4499    0.2371    0.2959    0.6251    
19   0.5995    10.2492   0.4507    0.2297    0.2846    0.6142    
20   0.5979    10.7888   0.4511    0.2199    0.2733    0.6028    
21   0.5957    11.3376   0.4518    0.2117    0.2636    0.5932    
22   0.5943    11.8950   0.4527    0.2042    0.2546    0.5844    
23   0.5918    12.4731   0.4535    0.1972    0.2461    0.5757    
24   0.5913    12.9982   0.4534    0.1916    0.2395    0.5690    
25   0.5888    13.5490   0.4540    0.1884    0.2331    0.5625    
26   0.5875    14.0908   0.4538    0.1836    0.2274    0.5570    
27   0.5848    14.5399   0.4550    0.1804    0.2234    0.5532    
28   0.5833    15.0341   0.4552    0.1770    0.2193    0.5494    
29   0.5822    15.5313   0.4558    0.1738    0.2154    0.5457    
